drug_name,tokens,labels
tesamorelin,"['CC', '\\', 'C=C\\', 'CC(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(=O)N[C@@H](C)', 'C(=O)N[C@@H](', 'CC(O)=O)', 'C(=O)N[C@@H](C)', 'C(=O)N[C@@H](', 'C(C)', 'CC)', 'C(=O)N[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'C(=O)N[C@@H](', 'C(C)', 'O)', 'C(=O)N[C@@H](', 'CC(N)=O)', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](C)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N[C@@H](', 'CC(O)=O)', 'C(=O)N[C@@H](', 'C(C)', 'CC)', 'C(=O)N[C@@H](', 'CCSC)', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](', 'CC(N)=O)', 'C(=O)N[C@@H](', 'CCC(', 'N)=O)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N', 'CC(=O)N', '[C@@H](C)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](C)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](CC(C)C)', 'C(N)=O']","[324, 957, 321, 335, 371, 324, 100, 311, 253, 175, 174, 362, 175, 174, 195, 364, 174, 371, 388, 388, 253, 174, 195, 671, 174, 357, 174, 548, 174, 371, 324, 100, 311, 253, 174, 444, 224, 174, 441, 174, 206, 176, 152, 335, 392, 607, 176, 174, 548, 175, 174, 444, 224, 174, 441, 176, 176, 174, 392, 607, 174, 362, 174, 195, 364, 174, 503, 174, 548, 174, 444, 224, 174, 392, 607, 174, 392, 607, 152, 335, 392, 607, 174, 548, 174, 357, 174, 392, 607, 174, 444, 224, 152, 329, 783, 174, 444, 224, 175, 174, 444, 224, 176, 225]"
afatinib,"['CN(C)C', '\\', 'C=C\\', 'C(=O)N', 'C1=C(', 'O[C@H]2', 'CCOC', '2)', 'C=C2', 'N=', 'CN', '=C(N', 'C3=', 'CC(', 'Cl)', '=C(', 'F)', 'C=C', '3)', 'C2', '=C1']","[524, 957, 321, 152, 260, 732, 493, 74, 317, 634, 519, 98, 299, 327, 584, 94, 586, 312, 78, 281, 106]"
vortioxetine,"['CC1=', 'CC', '=C(', 'S', 'C2=', 'CC=', 'CC', '=C2', 'N2', 'CCNCC2)', 'C(C)', '=C1']","[371, 324, 94, 742, 286, 388, 324, 108, 622, 489, 195, 106]"
butalbital,"['CC(C)', 'CC1(', 'CC=C)', 'C(=O)NC(=O)N', 'C1=O']","[341, 366, 390, 168, 266]"
chloroquine,"['CCN(CC)', 'CCCC(C)', 'N', 'C1=', 'CC', '=N', 'C2=', 'CC(', 'Cl)', '=', 'CC', '=C1', '2']","[476, 419, 590, 258, 324, 113, 286, 327, 584, 92, 324, 106, 73]"
everolimus,"['[H]', '[C@@]1', '(C', '[C@@H](C)', '[C@]2(', '[H]', ')', 'CC(=O)', '[C@H](C)', '\\', 'C=C(C)', '\\', '[C@@H](O)', '[C@@H](OC)', 'C(=O)', '[C@H](C)C', '[C@H](C)', '\\', 'C=C\\', 'C=C\\', 'C=C(C)', '\\', '[C@H](C', '[C@]3(', '[H]', ')', 'CC[C@@H](C)', '[C@@]', '(O)', '(O', '3)', 'C(=O)', 'C(=O)N3', 'CCCC', '[C@@]3(', '[H]', ')', 'C(=O)O', '2)', 'OC)', 'CC[C@@H](', 'OCC', 'O)', '[C@@H](', 'C1)', 'OC']","[917, 817, 36, 783, 891, 917, 59, 328, 842, 957, 314, 957, 795, 800, 146, 843, 842, 957, 321, 321, 314, 957, 840, 894, 917, 59, 505, 813, 54, 53, 78, 146, 165, 415, 830, 917, 59, 180, 74, 692, 504, 698, 671, 781, 253, 684]"
paritaprevir,"['[H]', '[C@@]12', 'C', '[C@]1(', 'NC(=O)', '[C@]1(', '[H]', ')', 'C[C@H](', 'CN1C(=O)', '[C@H](', 'CCCCC', '\\', 'C', '=C/', '2)', 'NC(=O)', 'C1=', 'CN', '=C(C)', 'C=', 'N1)', 'O', 'C1=N', 'C2=C(', 'C=', 'CC', '=C', '2)', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)NS(=O)(=O)', 'C1CC1']","[917, 822, 134, 885, 646, 885, 917, 59, 571, 531, 839, 428, 957, 134, 103, 74, 646, 258, 519, 97, 311, 610, 670, 265, 287, 311, 324, 93, 74, 281, 106, 311, 324, 93, 74, 173, 271]"
rifampicin,"['CO[C@H]1', '\\', 'C=C\\', 'O', '[C@@]2(C)', 'OC3', '=C(', 'C2=O)', 'C2=C(O)', 'C(\\', 'C', '=N\\', 'N4', 'CCN(C)CC', '4)', '=C(', 'NC(=O)', '\\', 'C(C)', '=C/C=C/', '[C@H](C)', '[C@H](O)', '[C@@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](OC(C)=O)', '[C@@H]1', 'C)', 'C(O)', '=C2', 'C(O)', '=C3', 'C']","[559, 957, 321, 670, 825, 696, 94, 291, 288, 240, 134, 119, 633, 470, 82, 94, 646, 957, 195, 105, 842, 854, 783, 795, 783, 860, 801, 241, 231, 108, 231, 109, 134]"
nalbuphine,"['O[C@H]1', 'CC', '[C@@]2(O)', '[C@H]3', 'CC4', '=', 'CC', '=C(O)', 'C5', '=C4', '[C@@]2(', 'CCN3', 'CC2', 'CCC2)', '[C@H]1O', '5']","[731, 324, 826, 875, 385, 92, 324, 100, 309, 110, 824, 486, 377, 411, 867, 85]"
ethionamide,"['CCC1', '=N', 'C=CC(', '=', 'C1)', 'C(N)', '=S']","[406, 113, 319, 92, 253, 222, 127]"
lenalidomide,"['N', 'C1=', 'CC=', 'CC2', '=C1', 'CN(', 'C1', 'CCC(=O)N', 'C1=O)', 'C2=O']","[590, 258, 388, 377, 106, 520, 249, 394, 267, 290]"
ammonium chloride,"['[NH4+]', '.', '[Cl-]']","[940, 60, 904]"
iloperidone,"['CO', 'C1=C(', 'OCC', 'CN2CCC(', 'CC2)', 'C2=N', 'OC3', '=C2', 'C=', 'CC', '(F)', '=C', '3)', 'C=CC(', '=', 'C1)', 'C(C)=O']","[547, 260, 698, 537, 379, 289, 696, 108, 311, 324, 47, 93, 78, 319, 92, 253, 203]"
hydroflumethiazide,"['NS(=O)(=O)', 'C1=', 'CC2', '=C(N', 'CN', 'S2', '(=O)=O)', 'C=C1', 'C(F)(F)F']","[666, 258, 377, 98, 519, 756, 34, 316, 218]"
oxacillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)', 'C1=C(C)', 'O', 'N=C1', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 646, 261, 670, 640, 258, 388, 388, 253, 234]"
opicapone,"['CC1=C(', 'C2=N', 'OC(', '=N', '2)', 'C2=', 'CC(', '=C(O)', 'C(O)', '=C', '2)', '[N+]([O-])=O)', 'C(Cl)', '=', '[N+]([O-])', 'C(C)', '=C1', 'Cl']","[372, 289, 685, 113, 74, 286, 327, 100, 231, 93, 74, 932, 214, 92, 930, 195, 106, 583]"
carvedilol,"['CO', 'C1=', 'CC=', 'CC', '=C1', 'OCCN', 'CC(O)CO', 'C1=', 'CC=', 'CC2', '=C1', 'C1=', 'CC=', 'CC', '=C1', 'N2']","[547, 258, 388, 324, 106, 707, 363, 258, 388, 377, 106, 258, 388, 324, 106, 622]"
dexrazoxane,"['C[C@@H](', 'CN1', 'CC(=O)', 'NC(=O)', 'C1)', 'N1', 'CC(=O)', 'NC(=O)', 'C1']","[563, 530, 328, 646, 253, 609, 328, 646, 249]"
monomethyl fumarate,"['COC(=O)', '\\', 'C=C\\', 'C(O)=O']","[553, 957, 321, 234]"
amoxapine,"['Cl', 'C1=', 'CC2', '=C(', 'OC3', '=', 'CC=', 'CC', '=C3', 'N=C2', 'N2', 'CCNCC2)', 'C=C1']","[583, 258, 377, 94, 696, 92, 388, 324, 109, 641, 622, 489, 316]"
ethanol,['CCO'],[491]
bumetanide,"['CCCCN', 'C1=C(', 'O', 'C2=', 'CC=', 'CC', '=C', '2)', 'C(=', 'CC(', '=', 'C1)', 'C(O)=O)', 'S(N)', '(=O)=O']","[439, 260, 670, 286, 388, 324, 93, 74, 140, 327, 92, 253, 235, 751, 33]"
desflurane,"['F', 'C(F)', 'O', 'C(F)', 'C(F)(F)F']","[585, 216, 670, 216, 218]"
vinblastine,"['[H]', '[C@@]12', 'N(C)', 'C3=', 'CC(', 'OC)', '=C(', 'C=C3', '[C@@]1', '1', 'CCN3', 'CC', '=C', '[C@@]', '(CC)', '(', '[C@@H](OC(C)=O)', '[C@]2(O)', 'C(=O)OC)', '[C@@]13', '[H]', ')', '[C@]1', '(C', '[C@@]2(', '[H]', ')', 'CN(C', '[C@]', '(O)', '(CC)', 'C2)', 'CCC2', '=C1', 'NC1', '=C2', 'C=', 'CC=', 'C1)', 'C(=O)OC']","[917, 822, 596, 299, 327, 692, 94, 318, 817, 71, 486, 324, 93, 813, 44, 31, 799, 892, 184, 823, 917, 59, 884, 36, 824, 917, 59, 521, 879, 54, 44, 284, 410, 106, 661, 108, 311, 388, 253, 183]"
nitroprusside,"['O', '=N', '[Fe--]', '(', 'C#N)', '(', 'C#N)', '(', 'C#N)', '(', 'C#N)', 'C#N']","[670, 113, 912, 31, 138, 31, 138, 31, 138, 31, 138, 137]"
baloxavir marboxil,"['[H]', '[C@@]12', 'CO', 'CCN1C(=O)', 'C1=C(', 'O', 'COC(=O)', 'OC)', 'C(=O)', 'C=', 'CN1', 'N2', '[C@H]1', 'C2=', 'CC', '=C(', 'F)', 'C(F)', '=C2', 'CS', 'C2=', 'CC=', 'CC', '=C1', '2']","[917, 822, 547, 481, 260, 670, 553, 692, 146, 311, 530, 622, 862, 286, 324, 94, 586, 216, 108, 560, 286, 388, 324, 106, 73]"
chlorpropamide,"['CCCN', 'C(=O)NS(=O)(=O)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[444, 173, 258, 324, 94, 584, 316]"
amiodarone,"['CCCCC1', '=C(', 'C(=O)', 'C2=', 'CC(', 'I)', '=C(', 'OCC', 'N(CC)CC)', 'C(', 'I)', '=C', '2)', 'C2=C(', 'O1)', 'C=', 'CC', '=C2']","[430, 94, 146, 286, 327, 589, 94, 698, 602, 139, 589, 93, 74, 287, 673, 311, 324, 108]"
miltefosine,"['CCCCCCCCCCCCCCCC', 'O', 'P', '([O-])', '(=O)', 'OCC', '[N+](C)', '(C)C']","[438, 670, 734, 58, 32, 698, 926, 40]"
grepafloxacin,"['CC1', 'CN(', 'CCN1', ')', 'C1=C(', 'F)', 'C(C)', '=C2', 'C(=O)C(', '=C', 'N(', 'C3CC3)', 'C2=', 'C1)', 'C(O)=O']","[365, 520, 479, 59, 260, 586, 195, 108, 148, 93, 592, 303, 286, 253, 234]"
streptozocin,"['CN(', 'N', '=O)', 'C(=O)N[C@H]1', '[C@@H](O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]1O']","[520, 590, 121, 179, 795, 729, 803]"
codeine,"['[H]', '[C@]12', 'C=C', '[C@H](O)', '[C@@H]3', 'OC4', '=C', '5', 'C(', 'C[C@H]1', 'N', '(C)CC', '[C@@]23', '5)', '=', 'CC', '=C4', 'OC']","[917, 888, 312, 854, 810, 697, 93, 85, 139, 577, 590, 42, 828, 86, 92, 324, 110, 684]"
sulfadiazine,"['N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C1=N', 'C=', 'CC=', 'N1']","[590, 258, 324, 94, 311, 253, 746, 265, 311, 388, 609]"
aluminum hydroxide,"['[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[Al+3]']","[946, 60, 946, 60, 946, 60, 774]"
thiabendazole,"['N1', 'C2=', 'CC=', 'CC', '=C2', 'N=C1', 'C1=C', 'S', 'C=', 'N1']","[609, 286, 388, 324, 108, 640, 259, 742, 311, 609]"
fondaparinux,"['CO[C@H]1', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](', 'O[C@@H]2', 'O[C@H](', '[C@@H](O', '[C@H]3', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](O', '[C@@H]4', 'O[C@@H](', '[C@@H](O', '[C@H]5', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](O)[C@H](O)', '[C@H]5', 'N', 'S', '(O)', '(=O)=O)', '[C@H](O)', '[C@H]4', 'O)', 'C(O)=O)', '[C@H](O', 'S', '(O)', '(=O)=O)', '[C@H]3', 'N', 'S', '(O)', '(=O)=O)', '[C@H](O)', '[C@H]2O', 'S', '(O)', '(=O)=O)', 'C(O)=O)', '[C@H](O)', '[C@H]1', 'N', 'S', '(O)', '(=O)=O']","[559, 727, 742, 54, 34, 781, 723, 725, 794, 875, 727, 742, 54, 34, 794, 811, 721, 794, 878, 727, 742, 54, 34, 796, 878, 590, 742, 54, 34, 854, 877, 671, 235, 853, 742, 54, 34, 875, 590, 742, 54, 34, 854, 872, 742, 54, 34, 235, 854, 862, 590, 742, 54, 33]"
cefazolin,"['[H]', '[C@]12', 'S', 'CC(', 'CS', 'C3=N', 'N', '=C(C)', 'S', '3)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)', 'CN1', 'C=N', 'N', '=N1', ')', 'C(O)=O']","[917, 888, 742, 327, 560, 301, 590, 97, 742, 78, 94, 613, 870, 646, 530, 322, 590, 117, 59, 234]"
aminophylline,"['N', 'CCN', '.', 'CN1', 'C2=C(', 'NC', '=N', '2)', 'C(=O)N(C)', 'C1=O', '.', 'CN1', 'C2=C(', 'NC', '=N', '2)', 'C(=O)N(C)', 'C1=O']","[590, 463, 60, 530, 287, 642, 113, 74, 154, 266, 60, 530, 287, 642, 113, 74, 154, 266]"
regorafenib,"['CNC(=O)', 'C1=', 'CC(O', 'C2=', 'CC', '(F)', '=C(', 'NC(=O)N', 'C3=', 'CC', '=C(', 'Cl)', 'C(', '=C', '3)', 'C(F)(F)F)', 'C=C', '2)', '=', 'CC=', 'N1']","[543, 258, 359, 286, 324, 47, 94, 651, 299, 324, 94, 584, 139, 93, 78, 219, 312, 74, 92, 388, 609]"
iodine,"['I', 'I']","[588, 588]"
morphine,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(C)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(', '[H]', ')', 'C=C', '[C@@H]2O']","[917, 822, 696, 100, 311, 385, 109, 817, 71, 467, 880, 917, 59, 36, 82, 885, 917, 59, 312, 807]"
warfarin,"['CC(=O)', 'CC(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=C(O)', 'C2=C(', 'O', 'C1=O)', 'C=', 'CC', '=C2']","[328, 327, 258, 388, 388, 253, 263, 287, 670, 267, 311, 324, 108]"
ciclesonide,"['[H]', '[C@@]12', 'C', '[C@@]3(', '[H]', ')', '[C@]4', '(', '[H]', ')', 'CCC', '5', '=CC(=O)', 'C=C', '[C@]5', '(C)', '[C@@]4', '(', '[H]', ')', '[C@@H](O)', 'C', '[C@]3(C)', '[C@@]1(', 'O[C@@H](', 'O2)', 'C1CCCCC1)', 'C(=O)', 'COC(=O)', 'C(C)C']","[917, 822, 134, 830, 917, 59, 898, 31, 917, 59, 391, 85, 111, 312, 900, 37, 835, 31, 917, 59, 795, 134, 895, 818, 721, 675, 278, 146, 553, 205]"
leuprolide,"['CCNC(=O)', '[C@@H]1', 'CCCN1C(=O)', '[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@H](CC(C)C)', 'NC(=O)[C@@H](', 'CC(C)C)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC1=', 'CN', 'C=', 'N1)', 'NC(=O)', '[C@@H]1CC', 'C(=O)N1']","[487, 801, 450, 839, 444, 224, 656, 653, 348, 655, 371, 324, 100, 311, 253, 655, 548, 655, 371, 519, 281, 106, 311, 324, 93, 74, 655, 371, 519, 311, 610, 646, 802, 157]"
bismuth subgallate,"['O', '[Bi]', '1', 'O', 'C2=', 'CC(', '=', 'CC(O)', '=C2', 'O1)', 'C(O)=O']","[670, 779, 71, 670, 286, 327, 92, 360, 108, 673, 234]"
asenapine,"['CN1', 'CC2', 'C(', 'C1)', 'C1=C(', 'OC3', '=', 'CC', '=C(', 'Cl)', 'C=C2', '3)', 'C=', 'CC', '=C1']","[530, 377, 139, 253, 260, 696, 92, 324, 94, 584, 317, 78, 311, 324, 106]"
iothalamic acid,"['CNC(=O)', 'C1=C(', 'I)', 'C(C(O)=O)', '=C(', 'I)', 'C(N', 'C(C)=O)', '=C1', 'I']","[543, 260, 589, 194, 94, 589, 221, 204, 106, 588]"
iohexol,"['CC(=O)N(', 'CC(O)', 'CO)', 'C1=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C1', 'I']","[330, 360, 548, 260, 589, 193, 360, 548, 94, 589, 193, 360, 548, 106, 588]"
naratriptan,"['CNS(=O)(=O)', 'CCC1', '=', 'CC2', '=C(N', 'C=C2', 'C2', 'CCN(C)CC2)', 'C=C1']","[546, 406, 92, 377, 98, 317, 281, 473, 316]"
deferoxamine,"['CC(=O)N(', 'O)', 'CCCC', 'CNC(=O)', 'CC', 'C(=O)N(', 'O)', 'CCCC', 'CNC(=O)', 'CC', 'C(=O)N(', 'O)', 'CCCC', 'CN']","[330, 671, 415, 543, 324, 153, 671, 415, 543, 324, 153, 671, 415, 519]"
trichlormethiazide,"['NS(=O)(=O)', 'C1=C(', 'Cl)', 'C=C2', 'NC(N', 'S(=O)(=O)', 'C2=', 'C1)', 'C(Cl)', 'Cl']","[666, 260, 584, 317, 659, 745, 286, 253, 214, 583]"
azatadine,"['CN1CCC(', 'CC1)', '=C1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=C1', 'N=', 'CC', '=C2']","[533, 369, 106, 286, 388, 324, 108, 410, 106, 634, 324, 108]"
ethchlorvynol,"['CCC(O)(', '\\', 'C=C\\', 'Cl)', 'C#C']","[403, 957, 321, 584, 136]"
auranofin,"['CC', 'P', '(CC)', '(CC)', '=', '[Au]', 'S', '[C@@H]1', 'O[C@H](CO', 'C(C)=O)', '[C@@H](OC(C)=O)', '[C@H](OC(C)=O)', '[C@H]1O', 'C(C)=O']","[324, 734, 44, 44, 92, 777, 742, 801, 727, 204, 799, 860, 867, 203]"
acetohexamide,"['CC(=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C(=O)N', 'C1CCCCC1']","[328, 258, 324, 94, 311, 253, 746, 152, 277]"
promethazine,"['CC(', 'CN1', 'C2=', 'CC=', 'CC', '=C2', 'S', 'C2=', 'CC=', 'CC', '=C1', '2)', 'N(C)C']","[327, 530, 286, 388, 324, 108, 742, 286, 388, 324, 106, 74, 597]"
ibuprofen,"['CC(C)', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(C)', 'C(O)=O']","[341, 371, 324, 94, 311, 253, 195, 234]"
pseudoephedrine,"['CN', '[C@@H](C)', '[C@@H](O)', 'C1=', 'CC=', 'CC', '=C1']","[519, 783, 795, 258, 388, 324, 106]"
larotrectinib,"['O[C@H]1', 'CCN(', 'C1)', 'C(=O)N', 'C1', '=C2', 'N=C(', 'C=', 'CN2', 'N=', 'C1)', 'N1', 'CCC[C@@H]1', 'C1=C(', 'F)', 'C=', 'CC', '(F)', '=C1']","[731, 464, 253, 152, 249, 108, 636, 311, 535, 634, 253, 609, 459, 260, 586, 311, 324, 47, 106]"
telithromycin,"['[H]', '[C@@]12', '[C@@H](C)', 'C(=O)', '[C@H](C)C', '[C@@](C)(', 'OC)', '[C@H](O', '[C@@H]3', 'O', '[C@H](C)C', '[C@@H](', '[C@H]3O)', 'N(C)C)', '[C@@H](C)', 'C(=O)', '[C@@H](C)', 'C(=O)O', '[C@H](CC)', '[C@@]1(C)', 'O', 'C(=O)N2', 'CCCCN1', 'C=N', 'C(=', 'C1)', 'C1=', 'CC=', 'CN', '=C1']","[917, 822, 783, 146, 843, 815, 692, 853, 810, 670, 843, 781, 876, 599, 783, 146, 783, 180, 847, 819, 670, 161, 442, 322, 140, 253, 258, 388, 519, 106]"
vecuronium,"['[H]', '[C@@]12', 'C[C@@H](', '[C@H](OC(C)=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'C[C@H](', 'OC(C)=O)', '[C@H](', 'C[C@]12', 'C)', 'N1', 'CCCCC1)', '[N+]1', '(C)', 'CCCCC1']","[917, 822, 563, 860, 820, 818, 917, 59, 824, 917, 59, 324, 824, 917, 59, 571, 690, 839, 582, 241, 609, 431, 933, 37, 430]"
milrinone,"['CC1=C(', 'C=C(', 'C#N)', 'C(=O)N', '1)', 'C1=', 'CC', '=N', 'C=C1']","[372, 313, 138, 152, 72, 258, 324, 113, 316]"
nortriptyline,"['CN', 'CCC', '=C1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=', 'CC=', 'CC', '=C1', '2']","[519, 391, 106, 286, 388, 324, 108, 410, 92, 388, 324, 106, 73]"
atomoxetine,"['CN', 'CC[C@@H](', 'O', 'C1=', 'CC=', 'CC', '=C1', 'C)', 'C1=', 'CC=', 'CC', '=C1']","[519, 504, 670, 258, 388, 324, 106, 241, 258, 388, 324, 106]"
pioglitazone,"['CCC1', '=', 'CN=C(', 'CCO', 'C2=', 'CC', '=C(', 'CC3', 'S', 'C(=O)N', 'C3=O)', 'C=C', '2)', 'C=C1']","[406, 92, 541, 491, 286, 324, 94, 382, 742, 152, 302, 312, 74, 316]"
cisatracurium,"['CO', 'C1=', 'CC2', '=C(', 'C=C1', 'OC)', '[C@@H](', 'CC1=', 'CC(', 'OC)', '=C(', 'OC)', 'C=', 'C1)', '[N@@+]', '(C)(', 'CCC(=O)O', 'CCCC', 'COC(=O)', 'CC', '[N@@+]', '1', '(C)', 'CCC3', '=C(', 'C=C(', 'OC)', 'C(OC)', '=C', '3)', '[C@H]1', 'CC1=', 'CC(', 'OC)', '=C(', 'OC)', 'C=', 'C1)', 'CC2']","[547, 258, 377, 94, 316, 692, 781, 371, 327, 692, 94, 692, 311, 253, 937, 38, 396, 415, 553, 324, 937, 71, 37, 412, 94, 313, 692, 237, 93, 78, 862, 371, 327, 692, 94, 692, 311, 253, 377]"
isoprenaline,"['CC(C)N', 'CC(O)', 'C1=', 'CC(O)', '=C(O)', 'C=C1']","[350, 360, 258, 360, 100, 316]"
formoterol,"['CO', 'C1=', 'CC', '=C(', 'CC(C)N', 'CC(O)', 'C2=', 'CC(N', 'C=O)', '=C(O)', 'C=C', '2)', 'C=C1']","[547, 258, 324, 94, 350, 360, 286, 355, 323, 100, 312, 74, 316]"
sparfloxacin,"['C[C@H]1', 'CN(C', '[C@@H](C)', 'N1)', 'C1=C(', 'F)', 'C(N)', '=C2', 'C(=O)C(', '=C', 'N(', 'C3CC3)', 'C2', '=C1', 'F)', 'C(O)=O']","[577, 521, 783, 610, 260, 586, 222, 108, 148, 93, 592, 303, 281, 106, 586, 234]"
fluconazole,"['OC(', 'CN1', 'C=N', 'C=', 'N1)', '(', 'CN1', 'C=N', 'C=', 'N1)', 'C1=C(', 'F)', 'C=C(', 'F)', 'C=C1']","[685, 530, 322, 311, 610, 31, 530, 322, 311, 610, 260, 586, 313, 586, 316]"
cabozantinib,"['CO', 'C1=', 'CC2', '=C(', 'C=C1', 'OC)', 'C(O', 'C1=', 'CC', '=C(', 'NC(=O)', 'C3(', 'CC3)', 'C(=O)N', 'C3=', 'CC', '=C(', 'F)', 'C=C', '3)', 'C=', 'C1)', '=', 'CC=', 'N2']","[547, 258, 377, 94, 316, 692, 230, 258, 324, 94, 646, 296, 383, 152, 299, 324, 94, 586, 312, 78, 311, 253, 92, 388, 622]"
liothyronine,"['N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(O)=O']","[667, 371, 327, 589, 94, 670, 286, 327, 589, 100, 312, 74, 139, 589, 92, 253, 234]"
omacetaxine mepesuccinate,"['[H]', '[C@@]1(', 'OC(=O)', '[C@@](O)(', 'CCCC', '(C)(C)', 'O)', 'CC(=O)OC)', 'C(OC)', '=C', '[C@]23', 'CCCN2', 'CCC2', '=', 'CC4', '=C(', 'OCO4)', 'C=C2', '[C@]1', '3', '[H]']","[917, 818, 686, 816, 415, 39, 671, 339, 237, 93, 893, 451, 410, 92, 385, 94, 714, 317, 884, 77, 917]"
cyclizine,"['CN1CCN(', 'CC1)', 'C(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[534, 369, 139, 258, 388, 388, 253, 258, 388, 324, 106]"
voriconazole,"['C[C@@H](', 'C1=N', 'C=N', 'C=C1', 'F)', '[C@](O)(', 'CN1', 'C=N', 'C=', 'N1)', 'C1=C(', 'F)', 'C=C(', 'F)', 'C=C1']","[563, 265, 322, 316, 586, 883, 530, 322, 311, 610, 260, 586, 313, 586, 316]"
rufinamide,"['NC(=O)', 'C1=C', 'N(', 'CC2', '=C(', 'F)', 'C=', 'CC', '=C2', 'F)', 'N', '=N1']","[646, 259, 592, 377, 94, 586, 311, 324, 108, 586, 590, 117]"
cephalexin,"['[H]', '[C@]12', 'S', 'CC(C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'N)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']","[917, 888, 742, 341, 94, 613, 870, 655, 606, 258, 388, 388, 253, 234]"
pyridostigmine,"['CN(C)', 'C(=O)O', 'C1=C', '[N+](C)', '=', 'CC', '=C1']","[523, 180, 259, 926, 92, 324, 106]"
guanadrel,"['NC(N)', '=N', 'CC1', 'CO', 'C2(', 'CCCCC2)', 'O1']","[660, 113, 365, 547, 282, 432, 672]"
ethosuximide,"['CCC1', '(C)', 'CC(=O)N', 'C1=O']","[406, 37, 329, 266]"
aripiprazole,"['Cl', 'C1=', 'CC=', 'CC(', 'N2CCN(', 'CCCC', 'OC3', '=', 'CC4', '=C(', 'CCC(=O)N', '4)', 'C=C', '3)', 'CC2)', '=C1', 'Cl']","[583, 258, 388, 327, 629, 415, 696, 92, 385, 94, 394, 82, 312, 78, 379, 106, 583]"
